Question,Option 1,Option 2,Option 3,Option 4,Correct Response,Explanation
"While learning about ASP.NET Core, you come across the term ""Middleware."" In simple terms, what does Middleware in ASP.NET Core refer to?",The physical hardware used in server hosting,The user interface components of a web application,The software components that handle requests and responses in the ASP.NET Core pipeline,The database schema of an ASP.NET Core application,Option 3,"In ASP.NET Core, Middleware refers to the software components that sit between the web server and the application. Middleware components are responsible for handling HTTP requests and responses, allowing you to add various features and behaviors to your application's request processing pipeline. Middleware components are responsible for handling HTTP requests and responses, allowing you to add various features and behaviors to your application's request processing pipeline."
Which of the following best describes ASP.NET Core?,"A cross-platform, open-source framework for building modern, cloud-connected applications",A proprietary framework exclusively for Windows application development,A JavaScript framework for front-end web development,A framework for building desktop applications,Option 1,"ASP.NET Core is best described as a cross-platform, open- source framework designed for building modern, cloud-connected applications. It is not limited to any specific operating system and allows developers to create web applications that can run on Windows, macOS, or Linux."
ASP.NET Core is a successor to which of the following frameworks?,ASP.NET Web Forms,ASP.NET MVC,Classic ASP,PHP,Option 2,"ASP.NET Core is a successor to the ASP.NET MVC framework. While ASP.NET Web Forms and Classic ASP were earlier web development technologies from Microsoft, ASP.NET Core represents a more modern and flexible approach to web development."
Which of the following is NOT a benefit of ASP.NET Core?,Cross-platform compatibility,Improved performance and scalability,Proprietary and closed-source,Modular and flexible architecture,Option 3,"Contrary to the other options, ASP.NET Core is not a proprietary and closed-source framework. It is open-source, meaning its source code is available for public inspection and contribution. This open nature fosters community collaboration and transparency in development."
How does ASP.NET Core maintain its modularity compared to its predecessor?,Through NuGet Packages,Through a Monolithic Architecture,Through Tight Coupling,Through Proprietary Components,Option 1,"ASP.NET Core achieves modularity through the extensive use of NuGet packages. This means that various components and libraries are organized as packages, making it easy to update, replace, or extend specific parts of the framework without affecting the entire application. This is a significant departure from the monolithic architecture of its predecessor, which had tightly coupled components and fewer modular options. This is a significant departure from the monolithic architecture of its predecessor, which had tightly coupled components and fewer modular options."
Which of the following is a unique feature introduced in ASP.NET Core that wasn't present in the traditional ASP.NET?,Cross-platform Support,Web Forms,Windows-only Development,COM Interoperability,Option 1,"One of the standout features of ASP.NET Core is its cross- platform support. Unlike traditional ASP.NET, which was primarily designed for Windows-based development, ASP.NET Core is cross- platform and can run on Windows, macOS, and Linux. This flexibility is a key differentiator and allows developers to target a broader range of platforms."
ASP.NET Core is designed to be:,High-performance and Scalable,Proprietary and Closed-source,Focused on Legacy Technologies,Compatible only with Internet Explorer,Option 1,"ASP.NET Core is designed to be a high-performance and scalable framework. It's optimized for building fast and efficient web applications, making it suitable for modern, demanding web development scenarios. Unlike some proprietary frameworks, ASP.NET Core is open- source and cross-platform, which aligns with the industry's move towards open standards and flexibility."
Which internal web server is associated with ASP.NET Core by default?,Kestrel,IIS Express,Apache,Nginx,Option 1,"ASP.NET Core is designed to be platform-agnostic and cross-platform. Kestrel is the default, lightweight, and cross-platform web server that comes bundled with ASP.NET Core. While other web servers like IIS, Apache, or Nginx can be used in combination with ASP.NET Core, Kestrel is the default choice for most applications. like IIS, Apache, or Nginx can be used in combination with ASP.NET Core, Kestrel is the default choice for most applications."
The dependency injection feature in ASP.NET Core is:,A built-in container for managing application dependencies,A third-party library for dependency management,Not available in ASP.NET Core,Limited to a specific programming language,Option 1,"ASP.NET Core includes a built-in dependency injection (DI) container for managing application dependencies. This feature helps achieve loose coupling, maintainability, and testability in your code by allowing you to inject dependencies into classes rather than hard-coding them."
"In comparison to the traditional ASP.NET, how does ASP.NET Core handle configuration data?",It uses JSON files only,It relies solely on XML configuration files,It uses a flexible and extensible configuration system,It doesn't support configuration data,Option 3,"ASP.NET Core introduced a flexible and extensible configuration system that allows developers to configure applications using various sources, such as JSON, XML, environment variables, command- line arguments, and more. This approach offers better configurability and ease of use compared to the traditional ASP.NET configuration methods."
"ASP.NET Core is often touted for its _______________, allowing developers to include only the libraries they need.",Modularity,Complexity,Legacy Code,Flexibility,Option 1,"ASP.NET Core is known for its modularity, which enables developers to build applications with only the necessary libraries and components. This modularity reduces complexity and avoids the inclusion of unnecessary legacy code, promoting flexibility in application development."
One of the biggest advantages of ASP.NET Core over traditional ASP.NET is its ability to run on,Multiple Platforms,Windows Only,Linux Only,macOS Only,Option 1,"One of the major advantages of ASP.NET Core is its ability to run on multiple platforms, including Windows, Linux, and macOS. This cross-platform compatibility provides greater flexibility in choosing the hosting environment for your ASP.NET Core applications."
"With ASP.NET Core, where you can deploy your applications to make them platform-independent.",Self-contained Manner,Windows-Only Manner,Closed Environment,Cloud-Based Manner,Option 1,"ASP.NET Core allows you to deploy your applications in a self-contained manner, ensuring they are platform-independent. This means that all the necessary runtime components are included with the application, eliminating the need for specific dependencies on the host system and providing portability."
"ASP.NET Core provides a built-in system for what, which was previously something developers had to integrate through third-party libraries in traditional ASP.NET.",Dependency Injection,Authentication,Routing,Caching,Option 1,"ASP.NET Core introduces a built-in Dependency Injection (DI) system, which was not part of traditional ASP.NET. In the past, developers often relied on third-party libraries for DI, but ASP.NET Core brings this critical feature into the framework, making it easier to manage dependencies in your applications."
"Unlike the traditional ASP.NET which relied on System.Web.dll, ASP.NET Core operates on a set of granular and modular packages.",NuGet,.NET Framework,GAC,Windows Registry,Option 1,"ASP.NET Core utilizes NuGet packages for its dependencies, unlike the monolithic System.Web.dll used in traditional ASP.NET. NuGet packages allow for a more modular and granular approach to including libraries, reducing the size of your application and making it more efficient."
The default configuration system in ASP.NET Core is no longer web.config but instead uses what files.,appsettings.json,config.xml,settings.conf,configuration.yaml,Option 1,"ASP.NET Core shifts from the traditional web.config to use JSON-based configuration files, typically named appsettings.json. This change provides a more flexible and human-readable way to configure application settings, and it aligns with modern development practices."
You're tasked with migrating a legacy ASP.NET application to a more modern framework. Why might ASP.NET Core be a good choice for this?,Cross-Platform Compatibility,Greater Performance,Legacy Code Integration,Familiarity with Old Frameworks,"Option 1,2","ASP.NET Core is an ideal choice for migrating a legacy ASP.NET application for several reasons. Firstly, it offers cross-platform compatibility, allowing the application to run on Windows, Linux, and macOS. Secondly, ASP.NET Core is known for its greater performance and scalability, making it a suitable choice for modernizing and improving the performance of older applications."
A client needs a high-performance application that can be scaled easily across multiple platforms. Which features of ASP.NET Core would you highlight to convince them?,Cross-Platform Support,Microservices Architecture,Docker Containerization,Allowing Legacy Code,"Option 1,2,3","ASP.NET Core is an excellent choice when a client requires a high-performance application with easy scalability. Firstly, it offers cross- platform support, enabling the application to run on various operating systems. Secondly, it promotes the use of microservices architecture, which allows for easy scalability and maintenance. Additionally, ASP.NET Core can be easily containerized using Docker, further enhancing scalability and deployment flexibility."
You want to develop a web application that can run seamlessly on both Linux and Windows without modifying the codebase. Why might ASP.NET Core be suitable for this task?,Cross-Platform Compatibility,Windows-Only Features,Legacy Code Integration,Proprietary Licensing,Option 1,ASP.NET Core's primary advantage in this scenario is its cross-platform compatibility. It allows you to develop a web application that seamlessly runs on both Linux and Windows without the need for codebase modifications. This flexibility is especially valuable when targeting multiple platforms and ensuring a consistent user experience across them.
"You're considering ASP.NET Core for a new web project because you've heard it's lightweight. What does ""lightweight"" mean in this context?",Reduced Memory Usage,Small Download Size,Limited Functionality,Short Development Time,Option 1,"In the context of ASP.NET Core, ""lightweight"" refers to reduced memory usage and a small download size. ASP.NET Core is designed to use fewer system resources, making it efficient for hosting applications and reducing operational costs. This lightweight nature also allows faster startup times for applications."
Your team is looking for a framework that allows rapid development and has built-in tools to facilitate this. How does ASP.NET Core meet this requirement?,ASP.NET Core CLI,Integrated Dependency Injection,Code Generation with Scaffold,Heavy Reliance on Third-Party Libraries,"Option 2,3","ASP.NET Core offers rapid development through features like the ASP.NET Core CLI for command-line tooling, integrated dependency injection for managing application services, and code generation tools like Scaffold to quickly create controllers and views. These built-in tools streamline development, enhancing productivity."
You've been told that ASP.NET Core offers better performance than its predecessor. What features or characteristics of ASP.NET Core contribute to this improved performance?,Cross-Platform Compatibility,Just-In-Time Compilation,Middleware Pipeline,Exclusive Use of Managed Code,"Option 2,3","ASP.NET Core achieves improved performance through features like just-in-time compilation (JIT), which compiles code at runtime for better execution speed, and the middleware pipeline, which allows for efficient request handling and response processing. These features, combined with cross-platform compatibility, contribute to enhanced performance."
Which IDE is commonly used by developers for building ASP.NET Core applications?,Visual Studio,Eclipse,Sublime Text,Notepad,Option 1,"Visual Studio is one of the most commonly used Integrated Development Environments (IDEs) by ASP.NET Core developers. It provides a robust set of tools and features for creating, testing, and deploying ASP.NET Core applications, making it a popular choice in the developer community."
Which of the following is essential for developing and running ASP.NET Core applications?,.NET Core SDK,A fancy keyboard,A high-resolution monitor,A fast internet connection,Option 1,"The essential component for developing and running ASP.NET Core applications is the .NET Core SDK (Software Development Kit). It provides the necessary tools, libraries, and runtime to build, test, and run ASP.NET Core applications on various platforms. Without it, ASP.NET Core development would be impossible."
What purpose does the .NET Core CLI serve in ASP.NET Core development?,It's used for ordering food online,It helps in managing NuGet packages,"It provides a command-line interface for creating, building, and managing ASP.NET Core projects",It's a design pattern in software development,Option 3,"The .NET Core CLI (Command-Line Interface) plays a crucial role in ASP.NET Core development. It allows developers to interact with their projects through the command line, facilitating tasks like project creation, building, testing, and running. It's a powerful tool for automating development tasks and managing ASP.NET Core projects efficiently."
What command would you typically use to create a new ASP.NET Core web application using the .NET Core CLI?,dotnet new web,dotnet build,dotnet run,dotnet publish,Option 1,The correct command to create a new ASP.NET Core web application using the .NET Core CLI is dotnet new web. This command sets up a basic web application template for you to start building upon.
"In ASP.NET Core development, which tool would allow you to code and debug on platforms like Linux and macOS, apart from Windows?",Visual Studio,Visual Studio Code,Sublime Text,Notepad++,Option 2,"Visual Studio Code is the tool that allows you to code and debug ASP.NET Core applications on multiple platforms, including Linux and macOS. It's a lightweight, cross-platform code editor that's highly extensible and well-suited for modern web development."
"When setting up a development environment for ASP.NET Core, why might a developer choose Visual Studio Code over Visual Studio?",Visual Studio Code is free,Visual Studio Code is open-source,Visual Studio Code is lighter-weight,Visual Studio Code has better intellisense,Option 3,"Developers might choose Visual Studio Code over Visual Studio for ASP.NET Core development because it is lighter-weight, making it faster to install and launch. It's also open-source and free, which can be advantageous for those on a budget or who prefer open-source tools. While Visual Studio offers more features for enterprise-level projects, Visual Studio Code is often preferred for smaller projects or when platform independence is a priority."
"For cross-platform development in ASP.NET Core, what runtime should be targeted to ensure the application can run on different OS types?",.NET Framework,.NET Core,.NET Standard,.NET Runtime,Option 2,"To achieve cross-platform compatibility in ASP.NET Core, developers should target the .NET Core runtime. .NET Core is designed to be cross-platform and supports running applications on various operating systems, making it the preferred choice for cross-platform development."
"While setting up an ASP.NET Core development environment on macOS, what would be the preferred installation method for the .NET SDK?",Homebrew,Visual Studio Code Extensions,Manual Download,Mac App Store,Option 1,"The preferred installation method for the .NET SDK on macOS is using Homebrew. Homebrew is a package manager for macOS, and it simplifies the installation and updates of the .NET SDK, ensuring that you have the latest version with ease."
Which component of the ASP.NET Core development environment allows for dependency resolution and package management?,.NET Compiler,NuGet Package Manager,ASP.NET Core Runtime,Entity Framework Core,Option 2,The NuGet Package Manager is the component of the ASP.NET Core development environment that handles dependency resolution and package management. It is a powerful package manager that helps developers manage and integrate third-party libraries and packages seamlessly into ASP.NET Core projects.
"For command-line operations in ASP.NET Core development, what is an indispensable tool.",dotnet CLI,Visual Studio,Sublime Text,IntelliJ IDEA,Option 1,"For command-line operations in ASP.NET Core development, the dotnet CLI (Command Line Interface) is an indispensable tool. It allows developers to perform tasks like project creation, building, testing, and publishing without relying on an IDE. The CLI is essential for cross-platform development and automation."
"While Visual Studio is a full-fledged IDE, what is a lightweight, cross-platform code editor that supports ASP.NET Core development.",Sublime Text,Visual Studio Code,Notepad++,Atom,Option 2,"While Visual Studio is a full-fledged integrated development environment (IDE), Visual Studio Code (VS Code) is a lightweight, cross- platform code editor that is highly popular among ASP.NET Core developers. VS Code offers extensions and plugins that make it suitable for ASP.NET Core development, and it's known for its speed and versatility."
"To ensure all necessary packages and dependencies are up-to-date in an ASP.NET Core project, what comm you'd typically run the dotnet.",upgrade,update,restore,clean,Option 2,"To ensure all necessary packages and dependencies are up-to- date in an ASP.NET Core project, you'd typically run the dotnet update command. This command checks for newer versions of packages and updates them in the project file. It helps maintain the project's dependencies and keeps it compatible with the latest libraries and features."
"ASP.NET Core's capability to run on different platforms, including Windows, Linux, and macOS, is primarily due to its reliance on what runtime.",.NET Framework,.NET Standard,.NET Core,.NET Runtime,Option 3,"ASP.NET Core's cross-platform capabilities are mainly enabled by its reliance on the .NET Core runtime. .NET Core is designed to be platform-agnostic, allowing ASP.NET Core applications to run seamlessly on Windows, Linux, and macOS."
"To facilitate the development and debugging process, developers can use what extension in Visual Studio Code for ASP.NET Core.",C#,ASP.NET Core,Debugger,Extensions,Option 3,"Developers can enhance their development and debugging experience in Visual Studio Code for ASP.NET Core by using the Debugger extension. This extension provides powerful debugging tools and features tailored for ASP.NET Core development, aiding in code analysis and problem-solving."
What file in an ASP.NET Core project helps specify the SDK version and other project related configurations.,appsettings.json,Program.cs,Startup.cs,.csproj,Option 4,"In an ASP.NET Core project, the .csproj (C# project) file is crucial for specifying the SDK version, dependencies, and various project- related configurations. It serves as the project file that orchestrates the build process and defines the project structure."
"You are setting up a new development environment for a team that will be working on an ASP.NET Core application. While some team members use Windows, others use macOS. Which development tools would be most suitable to ensure uniformity across the team?",Visual Studio,Visual Studio Code,Rider,Sublime Text,Option 2,"To ensure uniformity across a diverse team using both Windows and macOS, Visual Studio Code is the most suitable choice. It's a cross-platform code editor with robust ASP.NET Core support, allowing everyone to work seamlessly on the same project."
"After setting up your ASP.NET Core development environment, you need to ensure that the application can be containerized. What would be your primary focus when adjusting the development setup?",Implement Dependency Injection,Optimize Database Queries,Create Docker Containers,Configure Logging,Option 3,"The primary focus when adjusting the development setup for containerization should be on creating Docker containers. Containerization is a crucial step for portability and scalability, allowing you to package your ASP.NET Core application and its dependencies for deployment in various environments."
"You are tasked with setting up an ASP.NET Core environment on a Linux machine. What steps would be essential to ensure the application can be developed, built, and run seamlessly?",Install .NET Runtime,Configure IIS,Set Up Visual Studio,Configure NGINX,Option 1,"On a Linux machine, the essential step is to install the .NET Runtime to enable ASP.NET Core development. Unlike Windows, IIS is not typically used on Linux, and Visual Studio is primarily a Windows IDE. NGINX is a web server and reverse proxy but isn't required for setting up a development environment."
You are new to ASP.NET Core development and are setting up your computer for the first time. What would be the primary software you'd need to install to get started?,Visual Studio Code,.NET SDK,SQL Server,Adobe Photoshop,Option 2,"To get started with ASP.NET Core development, the primary software you need to install is the .NET SDK (Software Development Kit). This kit includes the necessary tools, libraries, and runtime environments to build, test, and run ASP.NET Core applications. Visual Studio Code is a popular code editor but does not include all the components required for ASP.NET Core development."
"During the installation of the .NET SDK, you come across terms like ""SDK"" and ""Runtime"". What is the primary difference between these two?",The SDK includes tools for development and the runtime for running applications.,"The SDK is for desktop development, and the runtime is for web development.","The SDK includes only documentation, and the runtime includes all development tools.","The SDK is for mobile development, and the runtime is for web development.",Option 1,"The primary difference between the ""SDK"" (Software Development Kit) and ""Runtime"" is that the SDK includes tools for development, such as compilers, libraries, and other utilities needed to create applications, while the Runtime includes only what is necessary to run applications built with the SDK. This separation allows developers to build applications on one system (using the SDK) and run them on another (using the Runtime) without the need for development tools."
"While learning about ASP.NET Core, you're advised to install an IDE that offers robust debugging, profiling, and integrated testing. Which IDE fits this description?",Visual Studio,Sublime Text,Notepad++,Atom,Option 1,"Visual Studio is the IDE that fits the description of offering robust debugging, profiling, and integrated testing capabilities for ASP.NET Core development. It provides a comprehensive set of features and tools for developing, testing, and debugging ASP.NET Core applications, making it a popular choice among developers in the ASP.NET Core ecosystem."
Which of the following tools is an Integrated Development Environment (IDE) specifically tailored for .NET development?,Visual Studio,Notepad,Sublime Text,Atom,Option 1,"Visual Studio is a comprehensive Integrated Development Environment (IDE) specifically designed for .NET development. It provides powerful tools and features for building various types of .NET applications, making it a popular choice among developers."
Which tool among the following is primarily a command-line tool for .NET operations?,Visual Studio Code,Visual Studio,Rider,.NET CLI,Option 4,"The .NET CLI (Command-Line Interface) is a command-line tool provided by Microsoft for .NET operations. It allows developers to create, build, and manage .NET applications from the command line, making it a valuable tool for automation and scripting tasks."
"If you want to code for ASP.NET Core and prefer a lightweight, cross-platform editor, which tool would you likely use?",Visual Studio,Sublime Text,Notepad,Visual Studio Code,Option 4,"Visual Studio Code is a lightweight, cross-platform code editor that is highly popular among developers for ASP.NET Core development. It offers a wide range of extensions and support for various programming languages, making it an excellent choice for web development."
"Which tool would you use for building, running, and managing .NET applications without an IDE?",.NET CLI,Visual Studio,Visual Studio Code,ReSharper,Option 1,"The .NET CLI (Command-Line Interface) is a powerful tool for building, running, and managing .NET applications without relying on a full-fledged Integrated Development Environment (IDE). It allows developers to work efficiently in the command-line environment, making it a versatile choice for various .NET development tasks."
"If a developer is looking to quickly scaffold a new ASP.NET Core controller, which CLI command would they most likely use?",dotnet new controller,dotnet scaffold controller,dotnet create controller,dotnet generate controller,Option 1,"To quickly scaffold a new ASP.NET Core controller, a developer would use the 'dotnet new controller' CLI command. This command generates the necessary files and boilerplate code for a controller, saving time and effort in setting up the initial structure."
What is the primary distinction between Visual Studio and Visual Studio Code?,"Visual Studio is a full-featured IDE, while Visual Studio Code is a lightweight code editor.","Visual Studio is open-source, while Visual Studio Code is proprietary.","Visual Studio is cross-platform, while Visual Studio Code is Windows-only.","Visual Studio supports Python, while Visual Studio Code does not.",Option 1,"The primary distinction between Visual Studio and Visual Studio Code is that Visual Studio is a full-featured Integrated Development Environment (IDE) with extensive features for various languages and platforms, while Visual Studio Code is a lightweight, open-source code editor. Visual Studio is often used for complex, multi-language development, whereas Visual Studio Code is a more streamlined choice for coding and scripting tasks."
"For containerized ASP.NET Core applications aiming for microservice architectures, which tool integration in Visual Studio provides tools for building, running, and orchestrating Docker containers?",Docker Hub,Kubernetes,Azure Kubernetes Service,Docker Tools,Option 4,"Docker Tools in Visual Studio provide a comprehensive set of features for containerized ASP.NET Core applications. It allows developers to build, run, and orchestrate Docker containers right from within Visual Studio, making it a powerful tool for microservices development."
How does the .NET SDK relate to the .NET runtime in the context of application development and deployment?,The .NET SDK is a subset of the .NET runtime.,"The .NET SDK contains all the libraries, compilers, and tools required to develop .NET applications, while the .NET runtime is only necessary for deployment.","The .NET SDK includes the .NET runtime, along with additional development tools and libraries.","The .NET SDK is used exclusively for cloud-based deployments, while the .NET runtime is for on-premises applications.",Option 3,"The .NET SDK includes the .NET runtime, but it also contains development tools, libraries, and compilers required for developing .NET applications. In contrast, the .NET runtime is primarily used for running already developed .NET applications."
What is the primary function of the dotnet command when used without any additional arguments in the CLI?,Display a list of available .NET Core versions,Create a new ASP.NET Core project,Run the last executed .NET application,Show information about .NET Core CLI commands,Option 4,"When you use the dotnet command without any additional arguments, it displays information about available .NET Core CLI commands. This helps users understand what commands are available and how to use them effectively."
"Imagine you're developing an ASP.NET Core application on a machine without any internet access. Which tool, among the following, allows you to install NuGet packages from a local feed or folder?",Visual Studio,dotnet CLI,NuGet Package Manager Console,Visual Studio Code,Option 2,"The dotnet CLI (Command-Line Interface) allows you to install NuGet packages from a local feed or folder. It provides the dotnet add package command, which supports specifying package sources. This is particularly useful when working in an offline environment or when you want to use custom package sources."
"You're working on a .NET project with a team and want to ensure everyone uses the same .NET SDK version. What file, when added to your project, can specify the SDK version developers should use?",.editorconfig,global.json,project.json,.NETVersion.json,Option 2,"To specify the SDK version for a .NET project, you should add a global.json file to the project directory. This file allows you to pin the SDK version, ensuring that all team members use the same version, promoting consistency in the development environment."
"While working on an ASP.NET Core application, you realize you need functionalities like Git integration, debugging, and extensions. Which lightweight editor, enriched with plugins, would be ideal for this purpose?",Visual Studio,Sublime Text,Notepad++,Visual Studio Code,Option 4,"Visual Studio Code is a lightweight code editor that's ideal for ASP.NET Core development. It offers Git integration, debugging support, and a rich ecosystem of extensions that can enhance your development workflow. It's particularly popular among developers for its versatility and extensibility."
You're a beginner and want to start developing ASP.NET Core apps. Which IDE developed by Microsoft would you most likely start with for a comprehensive development experience?,Visual Studio,Visual Studio Code,Eclipse,IntelliJ IDEA,Option 1,"As a beginner, for a comprehensive ASP.NET Core development experience, you would typically start with Microsoft's Visual Studio. Visual Studio provides a rich and integrated development environment specifically tailored for ASP.NET Core development, making it an excellent choice for newcomers."
"After writing your ASP.NET Core application code, you want to build and run your application using a command-line tool. Which tool would you use for this purpose?",.NET CLI (Command Line Interface),Git Bash,PowerShell,Command Prompt,Option 1,"To build and run your ASP.NET Core application from the command line, you would use the .NET CLI (Command Line Interface). It's a powerful tool that provides various commands for managing and running your ASP.NET Core projects efficiently."
